取引日,出金金額（円）,入金金額（円）,海外出金金額,通貨,変換レート（円）,利用国,取引内容,取引先,取引方法,支払い区分,利用者,取引番号
2026/01/02 12:27:06,"1,100",-,-,-,-,-,支払い,ワンコインドーム - 1515,PayPay残高,-,-,04880618952217591815
2026/01/02 11:42:19,"2,100",-,-,-,-,-,送った金額,樹生,PayPay残高,-,-,02169447591715799049
2026/01/02 11:42:09,"1,100",-,-,-,-,-,送った金額,にゃー,PayPay残高,-,-,02169447497224388609
2026/01/01 23:01:20,-,"10,000",-,-,-,-,チャージ,PayPay,セブン銀行ATM,-,-,02169055383891984384
2025/12/30 21:12:11,500,-,-,-,-,-,支払い,CIC,"PayPayポイント (386円), PayPay残高 (114円)",-,-,04878663067060674560
2025/12/30 21:05:46,-,"1,000",-,-,-,JP,受け取った金額,にゃー,PayPay残高,-,-,02167511471996215314
2025/12/01 04:05:40,"1,000",-,-,-,-,-,期間限定ポイントの期限切れ,-,PayPayポイント,-,-,04053431039882960965
2025/11/06 15:13:06,-,2,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04838400789491539972
2025/11/06 15:13:06,578,-,-,-,-,-,支払い,セブン-イレブン - 大阪西中島４丁目,"PayPayポイント (12円), PayPay残高 (566円)",-,-,04838400789491539972
2025/11/05 22:26:23,900,-,-,-,-,-,支払い,タクシー車内決済(GO) - 株式会社国際興業大阪　我孫子営業所,PayPay残高,-,-,04837881931672076290
2025/11/05 22:26:22,-,4,-,-,-,-,ポイント、残高の獲得,タクシー車内決済(GO),PayPayポイント,-,-,04837881931672076290
2025/11/05 21:59:37,-,6,-,-,-,-,ポイント、残高の獲得,中華そばふじい,PayPayポイント,-,-,04837868144827613188
2025/11/05 21:59:37,"1,320",-,-,-,-,-,支払い,中華そばふじい - なんば店,"PayPayポイント (6円), PayPay残高 (1,314円)",-,-,04837868144827613188
2025/11/05 00:11:27,"1,000",-,-,-,-,-,送った金額,にゃー,PayPay残高,-,-,02126045641517572096
2025/11/04 17:45:45,-,13,-,-,-,-,ポイント、残高の獲得,Uber Eats,PayPayポイント,-,-,04836980821762695171
2025/11/04 17:17:59,"2,801",-,-,-,-,-,支払い,Uber Eats,"PayPayポイント (36円), PayPay残高 (2,765円)",-,-,04836980821762695171
2025/11/04 08:28:20,"3,000",-,-,-,-,-,送った金額,志村雄太,PayPay残高,-,-,02125559554298904576
2025/11/03 23:23:02,"6,000",-,-,-,-,-,送った金額,志村雄太,PayPay残高,-,-,02125278508818964480
2025/11/03 20:19:36,-,"3,600",-,-,-,JP,受け取った金額,ライキ,PayPay残高,-,-,02125183967998812170
2025/11/03 20:17:25,-,"5,000",-,-,-,JP,受け取った金額,志村雄太,PayPay残高,-,-,02125182842717306890
2025/11/02 16:49:53,-,21,-,-,-,-,ポイント、残高の獲得,GEO,PayPayポイント,-,-,04835481989845450760
2025/11/02 16:49:53,"4,295",-,-,-,-,-,支払い,GEO - セカンドストリート堀江店,PayPay残高,-,-,04835481989845450760
2025/11/02 14:35:14,-,9,-,-,-,-,ポイント、残高の獲得,Uber Eats,PayPayポイント,-,-,04835407248824565767
2025/11/02 14:24:52,"1,832",-,-,-,-,-,支払い,Uber Eats,"PayPayポイント (9円), PayPay残高 (1,823円)",-,-,04835407248824565767
2025/11/01 20:45:46,-,3,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04834855208088248322
2025/11/01 20:33:45,686,-,-,-,-,-,支払い,セブン-イレブン - 大阪日本橋３丁目,PayPay残高,-,-,04834855208088248322
2025/11/01 15:04:26,195,-,-,-,-,-,支払い,セブン-イレブン - 大阪日本橋３丁目,PayPay残高,-,-,04834685470980702216
2025/11/01 14:43:12,734,-,-,-,-,-,支払い,髙島屋 - 大阪店,PayPay残高,-,-,04834674535994097670
2025/11/01 14:43:12,-,3,-,-,-,-,ポイント、残高の獲得,髙島屋,PayPayポイント,-,-,04834674535994097670
2025/11/01 14:39:17,-,79,-,-,-,-,ポイント、残高の獲得,なんばCITY,PayPayポイント,-,-,04834672508769419272
2025/11/01 14:39:17,"15,950",-,-,-,-,-,支払い,なんばCITY - アダム　エ　ロペ,PayPay残高,-,-,04834672508769419272
2025/11/01 13:02:51,-,37,-,-,-,-,ポイント、残高の獲得,千一夜,PayPayポイント,-,-,04834622807407222793
2025/11/01 13:02:51,"7,590",-,-,-,-,-,支払い,千一夜,"PayPayポイント (5円), PayPay残高 (7,585円)",-,-,04834622807407222793
2025/10/31 16:04:41,-,7,-,-,-,-,ポイント、残高の獲得,デイリーヤマザキ,PayPayポイント,-,-,04833974361835560960
2025/10/31 16:04:41,"1,536",-,-,-,-,-,支払い,デイリーヤマザキ - 淀川西中島,PayPay残高,-,-,04833974361835560960
2025/10/30 12:56:53,890,-,-,-,-,-,支払い,媛 - 故郷味の旅,PayPay残高,-,-,04833135400103370753
2025/10/30 12:56:53,-,4,-,-,-,-,ポイント、残高の獲得,媛,PayPayポイント,-,-,04833135400103370753
2025/10/30 09:02:27,-,"16,030",-,-,-,JP,受け取った金額,志村雄太,PayPay残高,-,-,02121866286150918146
2025/10/29 23:14:06,"4,000",-,-,-,-,-,送った金額,志村雄太,PayPay残高,-,-,02121563052869836808
2025/10/29 23:13:40,"4,000",-,-,-,-,-,送った金額,ライキ,PayPay残高,-,-,02121562838118932480
2025/10/29 15:18:38,-,4,-,-,-,-,ポイント、残高の獲得,デイリーヤマザキ,PayPayポイント,-,-,04832466287147982848
2025/10/29 15:18:38,970,-,-,-,-,-,支払い,デイリーヤマザキ - 淀川西中島,PayPay残高,-,-,04832466287147982848
2025/10/29 11:42:23,-,4,-,-,-,-,ポイント、残高の獲得,媛,PayPayポイント,-,-,04832354832747364352
2025/10/29 11:42:23,890,-,-,-,-,-,支払い,媛 - 故郷味の旅,"PayPayポイント (78円), PayPay残高 (812円)",-,-,04832354832747364352
2025/10/27 22:46:28,916,-,-,-,-,-,支払い,ローソン - ローソンストア100浪速日本橋,PayPay残高,-,-,04831212749403209730
2025/10/27 22:46:27,-,4,-,-,-,-,ポイント、残高の獲得,ローソン,PayPayポイント,-,-,04831212749403209730
2025/10/27 13:43:55,-,1,-,-,-,-,ポイント、残高の獲得,BIZcomfortCafe 大阪江戸堀,PayPayポイント,-,-,04830933121260929032
2025/10/27 13:43:55,380,-,-,-,-,-,支払い,BIZcomfortCafe 大阪江戸堀,"PayPayポイント (21円), PayPay残高 (359円)",-,-,04830933121260929032
2025/10/26 23:07:45,-,"1,500",-,-,-,JP,受け取った金額,n,PayPay残高,-,-,02119333269057650696
2025/10/26 17:22:45,"6,754",-,-,-,-,-,支払い,心斎橋PARCO - やきとり正や心斎橋PARCO店,PayPay残高,-,-,04830303736753258498
2025/10/26 17:22:44,-,33,-,-,-,-,ポイント、残高の獲得,心斎橋PARCO,PayPayポイント,-,-,04830303736753258498
2025/10/26 13:44:00,-,6,-,-,-,-,ポイント、残高の獲得,ローソン,PayPayポイント,-,-,04830190993861607431
2025/10/26 13:44:00,"1,338",-,-,-,-,-,支払い,ローソン - ローソンストア100浪速日本橋,PayPay残高,-,-,04830190993861607431
2025/10/25 23:34:52,-,25,-,-,-,-,ポイント、残高の獲得,スギ薬局グループ,PayPayポイント,-,-,04829753362464735232
2025/10/25 23:34:52,"5,163",-,-,-,-,-,支払い,スギ薬局グループ - スギドラッグ道頓堀東店,PayPay残高,-,-,04829753362464735232
2025/10/25 16:21:35,-,2,-,-,-,-,ポイント、残高の獲得,NEXCO西日本,PayPayポイント,-,-,04829530049935114240
2025/10/25 16:21:35,409,-,-,-,-,-,支払い,NEXCO西日本 - 権現湖パーキングエリア上り線,PayPay残高,-,-,04829530049935114240
2025/10/25 15:10:42,"2,654",-,-,-,-,-,支払い,NEXCO西日本 - 吉備サービスエリア上り線,PayPay残高,-,-,04829493508353064970
2025/10/25 15:10:42,-,13,-,-,-,-,ポイント、残高の獲得,NEXCO西日本,PayPayポイント,-,-,04829493508353064970
2025/10/25 15:04:30,-,1,-,-,-,-,ポイント、残高の獲得,NEXCO西日本,PayPayポイント,-,-,04829490321487331328
2025/10/25 15:04:30,365,-,-,-,-,-,支払い,NEXCO西日本 - 吉備サービスエリア上り線,PayPay残高,-,-,04829490321487331328
