日付,種類,金額,カテゴリ,メモ
2024/12/03,収入,97568,その他,振込　ｼﾖｸｷﾞﾖｳｱﾝﾃｲｷ
2024/12/07,支出,50000,その他,郵便局　(9940-6010)
2024/12/07,支出,220,その他,手数料
2024/12/08,支出,20000,その他,郵便局　(9940-6010)
2024/12/08,支出,220,その他,手数料
2024/12/09,収入,80000,その他,カード　LANS-220267
2024/12/09,支出,220,その他,手数料
2024/12/09,支出,28500,その他,送金　IB ｶﾝﾄｳｱｲﾃｲｿ
2024/12/10,支出,1628,その他,水道　ｽｲﾄﾞｳ11ﾂｷﾌﾞﾝ
2024/12/10,支出,78045,その他,振替　Dｶ-ﾄﾞ
2024/12/18,収入,90000,その他,カード　ｾﾌﾞﾝ-1113520
2024/12/18,支出,220,その他,手数料
2024/12/20,支出,7406,その他,ガス　ｵｵｻｶｶﾞｽ(ｶ)
2024/12/21,収入,40000,その他,カード　LANS-252379
2024/12/21,支出,220,その他,手数料
2024/12/24,収入,128058,その他,振込　ｼﾖｸｷﾞﾖｳｱﾝﾃｲｷ
2024/12/27,支出,17283,その他,返済金　ﾆﾎﾝｶﾞｸｾｲｼｴﾝｷ
2024/12/27,支出,95310,その他,振替　ｴﾎﾟｽｶ-ﾄﾞ
2024/12/27,支出,90000,その他,郵便局　(9940-6010)
2024/12/27,支出,220,その他,手数料
2024/12/27,支出,20000,その他,送金　IB ｲﾊﾗ ｼﾖｳﾀﾛ
2024/12/27,支出,165,その他,手数料
2025/01/09,収入,100000,その他,カード　ｾﾌﾞﾝ-1113520
2025/01/09,支出,220,その他,手数料
2025/01/09,支出,28500,その他,送金　IB ｶﾝﾄｳｱｲﾃｲｿ
2025/01/10,収入,2,その他,ポイント、残高の獲得 / Uber Eats / PayPayポイント / - / -
2025/01/10,支出,498,その他,"支払い / Uber Eats / PayPayポイント (2円), PayPay残高 (496円) / - / -"
2025/01/10,支出,58704,その他,振替　Dｶ-ﾄﾞ
2025/01/11,支出,20000,その他,郵便局　(9940-6010)
2025/01/11,支出,220,その他,手数料
2025/01/13,支出,3750,その他,送った金額 / 健志郎 / PayPay残高 / - / -
2025/01/13,支出,11000,その他,送った金額 / マサナリ / PayPay残高 / - / -
2025/01/13,収入,260000,その他,カード　ｾﾌﾞﾝ-1113520
2025/01/13,支出,220,その他,手数料
2025/01/13,支出,166000,その他,送金　IB ｲﾊﾗ ｹﾞﾝｷ
2025/01/13,収入,15000,その他,郵便局　(9940-6010)
2025/01/14,支出,100000,その他,送金　IB ｻﾉ ﾕｳﾀﾞｲ
2025/01/15,支出,1628,その他,水道　ｽｲﾄﾞｳ12ﾂｷﾌﾞﾝ
2025/01/24,収入,5000,その他,カード　LANS-257786
2025/01/24,支出,220,その他,手数料
2025/01/26,収入,113000,その他,郵便局　(9940-6010)
2025/01/26,支出,220,その他,手数料
2025/01/27,支出,17283,その他,返済金　ﾆﾎﾝｶﾞｸｾｲｼｴﾝｷ
2025/01/27,支出,95310,その他,振替　ｴﾎﾟｽｶ-ﾄﾞ
2025/01/28,収入,73176,その他,振込　ｼﾖｸｷﾞﾖｳｱﾝﾃｲｷ
2025/01/29,支出,10000,その他,送金　IB ｲﾊﾗ ｼﾖｳﾀﾛ
2025/01/29,支出,165,その他,手数料
2025/01/30,支出,70000,その他,郵便局　(9940-6010)
2025/01/30,支出,220,その他,手数料
2025/01/30,収入,5000,その他,郵便局　(9940-6010)
2025/02/03,収入,1000,その他,ポイント、残高の獲得 / Yahoo!ショッピング / PayPayポイント / - / -
2025/02/03,支出,9543,その他,ガス　ｵｵｻｶｶﾞｽ(ｶ)
2025/02/06,収入,30000,その他,カード　ｾﾌﾞﾝ-1136204
2025/02/06,支出,220,その他,手数料
2025/02/06,支出,28500,その他,送金　IB ｶﾝﾄｳｱｲﾃｲｿ
2025/02/09,収入,174000,その他,郵便局　(9940-6010)
2025/02/09,支出,220,その他,手数料
2025/02/10,収入,2,その他,ポイント、残高の獲得 / Uber Eats / PayPayポイント / - / -
2025/02/10,支出,498,その他,"支払い / Uber Eats / PayPayポイント (2円), PayPay残高 (496円) / - / -"
2025/02/10,支出,171837,その他,振替　Dｶ-ﾄﾞ
2025/02/12,支出,1639,その他,水道　ｽｲﾄﾞｳ01ﾂｷﾌﾞﾝ
2025/02/15,収入,16,その他,利息　07-02-14ﾏﾃﾞ
2025/02/20,収入,15000,その他,郵便局　(9940-6010)
2025/02/20,支出,220,その他,手数料
2025/02/20,収入,134700,その他,振込　ANYPASS
2025/02/21,支出,14147,その他,ガス　ｵｵｻｶｶﾞｽ(ｶ)
2025/02/21,支出,130000,その他,送金　IB ﾌｼﾞｻﾜ ﾅﾁ
2025/02/25,支出,6000,その他,送金　IB ｲﾊﾗ ｼﾖｳﾀﾛ
2025/02/25,支出,165,その他,手数料
2025/02/26,収入,220000,その他,郵便局　(9940-6010)
2025/02/26,支出,220,その他,手数料
2025/02/27,支出,17283,その他,返済金　ﾆﾎﾝｶﾞｸｾｲｼｴﾝｷ
2025/02/27,支出,132810,その他,振替　ｴﾎﾟｽｶ-ﾄﾞ
2025/03/02,支出,50000,その他,カード　LANS-227330
2025/03/02,支出,220,その他,手数料
2025/03/07,支出,20000,その他,カード　LANS-220267
2025/03/07,支出,110,その他,手数料
2025/03/09,収入,140000,その他,カード　ENET-186650
2025/03/09,支出,220,その他,手数料
2025/03/09,支出,28500,その他,送金　IB ｶﾝﾄｳｱｲﾃｲｿ
2025/03/10,収入,2,その他,ポイント、残高の獲得 / Uber Eats / PayPayポイント / - / -
2025/03/10,支出,498,その他,支払い / Uber Eats / PayPay残高 / - / -
2025/03/10,支出,100267,その他,振替　Dｶ-ﾄﾞ
2025/03/11,支出,1639,その他,水道　ｽｲﾄﾞｳ02ﾂｷﾌﾞﾝ
2025/03/18,支出,8000,その他,郵便局　(9940-6010)
2025/03/18,支出,220,その他,手数料
2025/03/20,収入,47380,その他,振込　ANYPASS
2025/03/21,支出,47380,その他,送金　IB ﾌｼﾞｻﾜ ﾅﾁ
2025/03/23,収入,12000,その他,カード　LANS-227330
2025/03/23,支出,220,その他,手数料
2025/03/24,支出,11625,その他,ガス　ｵｵｻｶｶﾞｽ(ｶ)
2025/03/27,収入,100000,その他,カード　LANS-246807
2025/03/27,支出,110,その他,手数料
2025/03/27,支出,17283,その他,返済金　ﾆﾎﾝｶﾞｸｾｲｼｴﾝｷ
2025/03/27,収入,20000,その他,カード　LANS-246807
2025/03/27,支出,95310,その他,振替　ｴﾎﾟｽｶ-ﾄﾞ
2025/04/01,支出,1000,その他,期間限定ポイントの期限切れ / - / PayPayポイント / - / -
2025/04/03,支出,8000,その他,カード　ｾﾌﾞﾝ-1135295
2025/04/03,支出,220,その他,手数料
2025/04/08,収入,100000,その他,カード　LANS-227330
2025/04/08,支出,220,その他,手数料
2025/04/08,支出,28500,その他,送金　IB ｶﾝﾄｳｱｲﾃｲｿ
2025/04/09,支出,1617,その他,水道　ｽｲﾄﾞｳ03ﾂｷﾌﾞﾝ
2025/04/10,収入,2,その他,ポイント、残高の獲得 / Uber One / PayPayポイント / - / -
2025/04/10,支出,498,その他,"支払い / Uber One / PayPayポイント (4円), PayPay残高 (494円) / - / -"
2025/04/10,支出,63577,その他,振替　Dｶ-ﾄﾞ
2025/04/15,収入,233346,その他,振込　ﾅﾆﾜｾﾞｲﾑｼﾖ
2025/04/15,支出,100000,その他,送金　IB ｲﾊﾗ ｼﾖｳﾀﾛ
2025/04/15,支出,165,その他,手数料
2025/04/16,支出,20000,その他,送金　IB ﾏﾂﾓﾄ ﾘﾖｳｽ
2025/04/16,支出,165,その他,手数料
2025/04/16,支出,25000,その他,カード　ｾﾌﾞﾝ-1138497
2025/04/16,支出,220,その他,手数料
2025/04/17,支出,50000,その他,郵便局　(9940-6010)
2025/04/17,支出,220,その他,手数料
2025/04/18,支出,30000,その他,郵便局　(9940-6010)
2025/04/18,支出,220,その他,手数料
2025/04/20,支出,10000,その他,郵便局　(9940-6010)
2025/04/20,支出,220,その他,手数料
2025/04/21,収入,130000,その他,カード　ｾﾌﾞﾝ-1113520
2025/04/21,支出,220,その他,手数料
2025/04/22,支出,10943,その他,ガス　ｵｵｻｶｶﾞｽ(ｶ)
2025/04/23,支出,100000,その他,カード　ｾﾌﾞﾝ-1113520
2025/04/23,支出,220,その他,手数料
2025/04/26,収入,91000,その他,カード　LANS-220742
2025/04/26,支出,220,その他,手数料
2025/04/28,支出,17283,その他,返済金　ﾆﾎﾝｶﾞｸｾｲｼｴﾝｷ
2025/04/28,支出,95310,その他,振替　ｴﾎﾟｽｶ-ﾄﾞ
2025/04/30,収入,1000,その他,ポイント、残高の獲得 / Yahoo!ショッピング / PayPayポイント / - / -
2025/05/12,支出,4000,その他,送った金額 / 健志郎 / PayPay残高 / - / -
2025/05/12,支出,6000,その他,送った金額 / シン / PayPay残高 / - / -
2025/05/12,収入,80000,その他,カード　ｾﾌﾞﾝ-1113520
2025/05/12,支出,220,その他,手数料
2025/05/12,支出,28500,その他,送金　IB ｶﾝﾄｳｱｲﾃｲｿ
2025/05/12,支出,44444,その他,振替　Dｶ-ﾄﾞ
2025/05/12,支出,7000,その他,カード　ｾﾌﾞﾝ-1113520
2025/05/12,支出,110,その他,手数料
2025/05/12,収入,30000,その他,カード　ｾﾌﾞﾝ-1125127
2025/05/13,支出,580,その他,支払い / ファミリーマート - 浅草橋駅東口 / PayPay残高 / - / -
2025/05/13,収入,2,その他,ポイント、残高の獲得 / ファミリーマート / PayPayポイント / - / -
2025/05/13,収入,2,その他,ポイント、残高の獲得 / Uber One / PayPayポイント / - / -
2025/05/13,支出,498,その他,"支払い / Uber One / PayPayポイント (2円), PayPay残高 (496円) / - / -"
2025/05/13,支出,1639,その他,水道　ｽｲﾄﾞｳ04ﾂｷﾌﾞﾝ
2025/05/13,収入,450000,その他,カード　ｾﾌﾞﾝ-1113520
2025/05/13,支出,220,その他,手数料
